INFO 2024-09-26 12:41:19,179 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-26 12:41:20,890 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\coordinator\protocol.py first seen with mtime 1726818133.430516
DEBUG 2024-09-26 12:41:20,891 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1726818186.0049922
DEBUG 2024-09-26 12:41:20,891 autoreload File C:\Python3119\Lib\decimal.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,891 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\utils\safestring.py first seen with mtime 1726818186.8920135
DEBUG 2024-09-26 12:41:20,892 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\faker\providers\phone_number\__init__.py first seen with mtime 1726818258.4687822
DEBUG 2024-09-26 12:41:20,892 autoreload File C:\Projects\streaming_app\data_ingress\urls.py first seen with mtime 1727209593.1573713
DEBUG 2024-09-26 12:41:20,893 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\backends\postgresql\base.py first seen with mtime 1726818186.2109993
DEBUG 2024-09-26 12:41:20,894 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1726818185.9659958
DEBUG 2024-09-26 12:41:20,895 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\rest_framework\utils\humanize_datetime.py first seen with mtime 1727168538.4663432
DEBUG 2024-09-26 12:41:20,895 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\coordinator\assignors\sticky\sticky_assignor.py first seen with mtime 1726818133.4425116
DEBUG 2024-09-26 12:41:20,896 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\lib\_arrayterator_impl.py first seen with mtime 1726818139.2509632
DEBUG 2024-09-26 12:41:20,897 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\apps\registry.py first seen with mtime 1726818165.7864037
DEBUG 2024-09-26 12:41:20,897 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1726818175.1681688
DEBUG 2024-09-26 12:41:20,898 autoreload File C:\Projects\streaming_app\data_ingress\common\logging_\to_log_file.py first seen with mtime 1727126818.40915
DEBUG 2024-09-26 12:41:20,898 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\models\enums.py first seen with mtime 1726818186.305001
DEBUG 2024-09-26 12:41:20,899 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\checks\files.py first seen with mtime 1726818185.9589918
DEBUG 2024-09-26 12:41:20,900 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\_typing\_dtype_like.py first seen with mtime 1726818140.1449857
DEBUG 2024-09-26 12:41:20,900 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1726818177.9042823
DEBUG 2024-09-26 12:41:20,901 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1726818185.9689934
DEBUG 2024-09-26 12:41:20,902 autoreload File C:\Python3119\Lib\asyncio\coroutines.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,903 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1726818186.0139935
DEBUG 2024-09-26 12:41:20,906 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\dtypes.py first seen with mtime 1726818138.8569546
DEBUG 2024-09-26 12:41:20,907 autoreload File C:\Python3119\Lib\email\mime\text.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,908 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1727168538.4733427
DEBUG 2024-09-26 12:41:20,908 autoreload File C:\Python3119\Lib\asyncio\runners.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,909 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\metrics\stats\percentiles.py first seen with mtime 1726818133.4705167
DEBUG 2024-09-26 12:41:20,909 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\utils\log.py first seen with mtime 1726818186.8790126
DEBUG 2024-09-26 12:41:20,910 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\colorama\ansitowin32.py first seen with mtime 1726818159.628737
DEBUG 2024-09-26 12:41:20,910 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1726818186.0039914
DEBUG 2024-09-26 12:41:20,911 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1726818186.8300133
DEBUG 2024-09-26 12:41:20,912 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1726818172.9589183
DEBUG 2024-09-26 12:41:20,912 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\lib\_scimath_impl.py first seen with mtime 1726818139.2719836
DEBUG 2024-09-26 12:41:20,913 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\google\protobuf\internal\field_mask.py first seen with mtime 1726818137.7900517
DEBUG 2024-09-26 12:41:20,914 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1726818172.960918
DEBUG 2024-09-26 12:41:20,914 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1726818175.1871693
DEBUG 2024-09-26 12:41:20,915 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1726818186.1049955
DEBUG 2024-09-26 12:41:20,916 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\lib\_array_utils_impl.py first seen with mtime 1726818139.252965
DEBUG 2024-09-26 12:41:20,916 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\_utils\__init__.py first seen with mtime 1726818140.1609876
DEBUG 2024-09-26 12:41:20,917 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\_array_api_info.py first seen with mtime 1726818138.8629546
DEBUG 2024-09-26 12:41:20,917 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\google\protobuf\reflection.py first seen with mtime 1726818137.8070543
DEBUG 2024-09-26 12:41:20,918 autoreload File C:\Python3119\Lib\email\parser.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,919 autoreload File C:\Python3119\Lib\asyncio\proactor_events.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,920 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\coordinator\assignors\sticky\__init__.py first seen with mtime 1726818133.4385152
DEBUG 2024-09-26 12:41:20,920 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\google\protobuf\internal\builder.py first seen with mtime 1726818137.7830524
DEBUG 2024-09-26 12:41:20,922 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\coordinator\assignors\sticky\partition_movements.py first seen with mtime 1726818133.439513
DEBUG 2024-09-26 12:41:20,923 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\shortcuts.py first seen with mtime 1726818165.7744064
DEBUG 2024-09-26 12:41:20,924 autoreload File C:\Python3119\Lib\email\headerregistry.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,925 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1726818168.1838307
DEBUG 2024-09-26 12:41:20,926 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\_core\overrides.py first seen with mtime 1726818139.8409781
DEBUG 2024-09-26 12:41:20,927 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\_core\_exceptions.py first seen with mtime 1726818139.8559787
DEBUG 2024-09-26 12:41:20,927 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\lib\_function_base_impl.py first seen with mtime 1726818139.2569697
DEBUG 2024-09-26 12:41:20,928 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1726818186.1299975
DEBUG 2024-09-26 12:41:20,929 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\lib\format.py first seen with mtime 1726818139.2329636
DEBUG 2024-09-26 12:41:20,930 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\lib\introspect.py first seen with mtime 1726818139.2349653
DEBUG 2024-09-26 12:41:20,931 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1726818136.8410168
DEBUG 2024-09-26 12:41:20,934 autoreload File C:\Projects\streaming_app\data_ingress\common\dummy_data\random_data_generator.py first seen with mtime 1727299170.1515253
DEBUG 2024-09-26 12:41:20,936 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\faker\providers\address\__init__.py first seen with mtime 1726818257.0947485
DEBUG 2024-09-26 12:41:20,940 autoreload File C:\Python3119\Lib\asyncio\streams.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,942 autoreload File C:\Python3119\Lib\lzma.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,943 autoreload File C:\Python3119\Lib\re\_casefix.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,944 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1726818186.1099982
DEBUG 2024-09-26 12:41:20,944 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\rest_framework\authentication.py first seen with mtime 1727168537.991337
DEBUG 2024-09-26 12:41:20,945 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1726818186.6180096
DEBUG 2024-09-26 12:41:20,945 autoreload File C:\Projects\streaming_app\data_display\views.py first seen with mtime 1727298601.5141485
DEBUG 2024-09-26 12:41:20,945 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1726818173.0654476
DEBUG 2024-09-26 12:41:20,946 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1726818186.3330014
DEBUG 2024-09-26 12:41:20,947 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\_core\arrayprint.py first seen with mtime 1726818139.8169782
DEBUG 2024-09-26 12:41:20,948 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1726818186.3440037
DEBUG 2024-09-26 12:41:20,949 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\rest_framework\mixins.py first seen with mtime 1727168538.0043378
DEBUG 2024-09-26 12:41:20,949 autoreload File C:\Python3119\Lib\inspect.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,950 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\conf\__init__.py first seen with mtime 1726818165.7894032
DEBUG 2024-09-26 12:41:20,950 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1726818186.3540006
DEBUG 2024-09-26 12:41:20,951 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\middleware\cache.py first seen with mtime 1726818186.6210077
DEBUG 2024-09-26 12:41:20,951 autoreload File C:\Python3119\Lib\encodings\cp1252.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,952 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\protocol\parser.py first seen with mtime 1726818133.511518
DEBUG 2024-09-26 12:41:20,952 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\serializer\__init__.py first seen with mtime 1726818133.5305161
DEBUG 2024-09-26 12:41:20,953 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\metrics\metrics_reporter.py first seen with mtime 1726818133.4575121
DEBUG 2024-09-26 12:41:20,953 autoreload File C:\Python3119\Lib\bisect.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,955 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\__init__.py first seen with mtime 1726818186.113995
DEBUG 2024-09-26 12:41:20,955 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1727168538.4703424
DEBUG 2024-09-26 12:41:20,956 autoreload File C:\Python3119\Lib\string.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,957 autoreload File C:\Python3119\Lib\ctypes\_endian.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,958 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1726818186.894014
DEBUG 2024-09-26 12:41:20,958 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1726818186.132001
DEBUG 2024-09-26 12:41:20,959 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\template\backends\django.py first seen with mtime 1726818186.6940095
DEBUG 2024-09-26 12:41:20,959 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\utils\timesince.py first seen with mtime 1726818186.9010131
DEBUG 2024-09-26 12:41:20,960 autoreload File C:\Python3119\Lib\urllib\error.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,960 autoreload File C:\Python3119\Lib\socketserver.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,961 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\files\base.py first seen with mtime 1726818185.9839916
DEBUG 2024-09-26 12:41:20,961 autoreload File C:\Python3119\Lib\pickle.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,962 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\kafka\coordinator\assignors\range.py first seen with mtime 1726818133.4355166
DEBUG 2024-09-26 12:41:20,963 autoreload File C:\Python3119\Lib\email\quoprimime.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,963 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\_core\getlimits.py first seen with mtime 1726818139.8299785
DEBUG 2024-09-26 12:41:20,964 autoreload File C:\Python3119\Lib\asyncio\taskgroups.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,965 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\rest_framework\utils\formatting.py first seen with mtime 1727168538.4633434
DEBUG 2024-09-26 12:41:20,966 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\middleware\clickjacking.py first seen with mtime 1726818186.624008
DEBUG 2024-09-26 12:41:20,966 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\models\manager.py first seen with mtime 1726818186.313001
